name,id,nametype,recclass,mass,year,reclat,reclong
Bukhara,30448,Valid,CV3,5300,2001-01-01T00:00:00.000,39.779780,64.600350
Bulls Run,5163,Valid,Iron?,2250,1964-01-01T00:00:00.000,,
Bunburra Rockhole,48653,Valid,Eucrite,324,2007-01-01T00:00:00.000,-31.350000,129.190000
Bununu,5165,Valid,Howardite,357,1942-01-01T00:00:00.000,10.016670,9.583330
Bur-Gheluai,5169,Valid,H5,120000,1919-01-01T00:00:00.000,5.000000,48.000000
Burnwell,5175,Valid,H4-an,1504,1990-01-01T00:00:00.000,37.621940,-82.237220
Bursa,5177,Valid,L6,25000,1946-01-01T00:00:00.000,40.200000,29.233330
Buschhof,5178,Valid,L6,5000,1863-01-01T00:00:00.000,46.450000,25.783330
Bustee,5181,Valid,Aubrite,1500,1852-01-01T00:00:00.000,26.783330,82.833330
Butsura,5183,Valid,H6,29000,1861-01-01T00:00:00.000,27.083330,84.083330
Buzzard Coulee,48654,Valid,H4,41000,2008-01-01T00:00:00.000,52.996000,-109.848170
Cabezo de Mayo,5185,Valid,L/LL6,25000,1870-01-01T00:00:00.000,37.983330,-1.166670
Cabin Creek,5186,Valid,"Iron, IIIAB",48500,1886-01-01T00:00:00.000,35.500000,-93.500000
Cacak,5187,Valid,OC,212,1919-01-01T00:00:00.000,43.838890,20.333330
Cali,45976,Valid,H/L4,478,2007-01-01T00:00:00.000,3.405000,-76.510000
Calivo,5200,Valid,Stone-uncl,2400,1916-01-01T00:00:00.000,11.750000,122.333330
Campos Sales,5249,Valid,L5,23680,1991-01-01T00:00:00.000,-7.033330,-40.166670
Çanakkale,5250,Valid,L6,4000,1964-01-01T00:00:00.000,39.800000,26.600000
Cañellas,5251,Valid,H4,945,1861-01-01T00:00:00.000,41.250000,1.666670
Cangas de Onis,5252,Valid,H5,34000,1866-01-01T00:00:00.000,43.383330,-5.150000
Canon City,5253,Valid,H6,1400,1973-01-01T00:00:00.000,38.470280,-105.241390
Cape Girardeau,5260,Valid,H6,2300,1846-01-01T00:00:00.000,37.266670,-89.583330
Capilla del Monte,5264,Valid,H6,750,1934-01-01T00:00:00.000,-30.883330,-64.550000
Carancas,45817,Valid,H4-5,342,2007-01-01T00:00:00.000,-16.664440,-69.043890
Caratash,5265,Valid,LL6,8,1902-01-01T00:00:00.000,38.500000,27.000000
Castalia,5291,Valid,H5,7300,1874-01-01T00:00:00.000,36.083330,-78.066670
Castel Berardenga,5292,Valid,Stone-uncl,,1791-01-01T00:00:00.000,43.350000,11.500000
Castine,5293,Valid,L6,94,1848-01-01T00:00:00.000,44.383330,-68.750000
Castrovillari,5295,Valid,Stone-uncl,15000,1583-01-01T00:00:00.000,39.800000,16.200000
Caswell County,5296,Valid,OC,1360,1810-01-01T00:00:00.000,36.500000,-79.250000
Ceniceros,5306,Valid,L3.7,1025,1988-01-01T00:00:00.000,26.466670,-105.233330
Centerville,5307,Valid,H5,45.6,1956-01-01T00:00:00.000,43.200000,-96.916670
Cereseto,5308,Valid,H5,6460,1840-01-01T00:00:00.000,45.083330,8.300000
Chadong,5313,Valid,L6,3700,1998-01-01T00:00:00.000,28.533330,109.316670
Chail,5314,Valid,H6,0.5,1814-01-01T00:00:00.000,25.366670,81.666670
Chainpur,5315,Valid,LL3.4,8200,1907-01-01T00:00:00.000,25.850000,83.483330
Chajari,5316,Valid,L5,18300,1933-01-01T00:00:00.000,-30.783330,-58.050000
Chandakapur,5320,Valid,L5,8800,1838-01-01T00:00:00.000,20.266670,76.016670
Chandpur,5321,Valid,L6,1100,1885-01-01T00:00:00.000,27.283330,79.050000
Changde,5322,Valid,H5,1810,1977-01-01T00:00:00.000,29.083330,111.750000
Chantonnay,5325,Valid,L6,31500,1812-01-01T00:00:00.000,46.683330,1.050000
Charlotte,5328,Valid,"Iron, IVA",4300,1835-01-01T00:00:00.000,36.166670,-87.333330
Charsonville,5329,Valid,H6,27000,1810-01-01T00:00:00.000,47.933330,1.566670
Charwallas,5330,Valid,H6,12000,1834-01-01T00:00:00.000,29.483330,75.500000
Chassigny,5331,Valid,Martian (chassignite),4000,1815-01-01T00:00:00.000,47.716670,5.366670
Château-Renard,5332,Valid,L6,30000,1841-01-01T00:00:00.000,47.933330,2.916670
Chaves,5334,Valid,Howardite,2945,1925-01-01T00:00:00.000,41.933330,-7.466670
Chela,5338,Valid,H4,2936,1988-01-01T00:00:00.000,-3.666670,32.500000
Chelyabinsk,57165,Valid,LL5,100000,2013-01-01T00:00:00.000,54.816670,61.116670
Chergach ,47347,Valid,H5,100000,2007-01-01T00:00:00.000,23.696390,-5.014720
Chernyi Bor,5339,Valid,H4,6000,1964-01-01T00:00:00.000,53.700000,30.100000
Cherokee Springs,5340,Valid,LL6,8400,1933-01-01T00:00:00.000,35.033330,-81.883330
Chervettaz,5341,Valid,L5,705,1901-01-01T00:00:00.000,46.550000,6.816670
Chervony Kut,5342,Valid,Eucrite-mmict,1700,1939-01-01T00:00:00.000,50.833330,34.000000
Chetrinahatti,5344,Valid,Stone-uncl,72,1880-01-01T00:00:00.000,14.500000,76.500000
Chiang Khan,5345,Valid,H6,367,1981-01-01T00:00:00.000,17.900000,101.633330
Chicora,5349,Valid,LL6,303,1938-01-01T00:00:00.000,40.933330,-79.733330
Chisenga,5355,Valid,"Iron, IIIAB",3920,1988-01-01T00:00:00.000,-10.059440,33.395000
Chitado,5356,Valid,L6,,1966-01-01T00:00:00.000,-17.350000,13.966670
Chitenay,5357,Valid,L6,4000,1978-01-01T00:00:00.000,47.470830,0.976670
Cilimus,5364,Valid,L5,1600,1979-01-01T00:00:00.000,-6.950000,108.100000
Claxton,5374,Valid,L6,1455,1984-01-01T00:00:00.000,32.102500,-81.872780
Clohars,5383,Valid,L4,48.6,1822-01-01T00:00:00.000,,
Colby (Wisconsin),5395,Valid,L6,104000,1917-01-01T00:00:00.000,44.900000,-90.283330
Cold Bokkeveld,5397,Valid,CM2,5200,1838-01-01T00:00:00.000,-33.133330,19.383330
Coleman,5401,Valid,L6,469,1994-01-01T00:00:00.000,43.761110,-84.507780
Collescipoli,5403,Valid,H5,5000,1890-01-01T00:00:00.000,42.533330,12.616670
Conquista,5418,Valid,H4,20350,1965-01-01T00:00:00.000,-19.850000,-47.550000
Cosina,5451,Valid,H5,1200,1844-01-01T00:00:00.000,21.166670,-100.866670
Cranganore,5465,Valid,L6,1460,1917-01-01T00:00:00.000,10.200000,76.266670
Crescent,5470,Valid,CM2,78.400000000000006,1936-01-01T00:00:00.000,35.950000,-97.583330
Cronstad,5474,Valid,H5,3650,1877-01-01T00:00:00.000,-27.700000,27.300000
Cross Roads,5476,Valid,H5,167,1892-01-01T00:00:00.000,35.633330,-78.133330
Crumlin,5477,Valid,L5,4255,1902-01-01T00:00:00.000,54.616670,-6.216670
Cumberland Falls,5496,Valid,Aubrite,17000,1919-01-01T00:00:00.000,36.833330,-84.350000
Cynthiana,5500,Valid,L/LL4,6000,1877-01-01T00:00:00.000,38.400000,-84.250000
Dahmani,5504,Valid,LL6,18000,1981-01-01T00:00:00.000,35.616670,8.833330
Dandapur,5511,Valid,L6,5650,1878-01-01T00:00:00.000,26.916670,83.966670
Daniel's Kuil,5513,Valid,EL6,1064,1868-01-01T00:00:00.000,-28.200000,24.566670
Danville,5514,Valid,L6,2000,1868-01-01T00:00:00.000,34.400000,-87.066670
Darmstadt,6603,Valid,H5,100,1804-01-01T00:00:00.000,49.866670,8.650000
Dashoguz,6604,Valid,H5,7000,1998-01-01T00:00:00.000,41.984440,59.685000
Daule,51559,Valid,L5,6580,2008-01-01T00:00:00.000,-1.870890,-79.957560
De Cewsville,6621,Valid,H6,340,1887-01-01T00:00:00.000,43.000000,-80.000000
Deal,6634,Valid,L6,28,1829-01-01T00:00:00.000,40.250000,-74.000000
Delhi,6642,Valid,L5,0.8,1897-01-01T00:00:00.000,28.566670,77.250000
Demina,6649,Valid,L6,16400,1911-01-01T00:00:00.000,51.466670,84.766670
Denver,6660,Valid,L6,230,1967-01-01T00:00:00.000,39.782500,-104.930560
Dergaon,6664,Valid,H5,12500,2001-01-01T00:00:00.000,26.683330,93.866670
Desuri,6693,Valid,H6,25400,1962-01-01T00:00:00.000,25.733330,73.616670
Devgaon,6694,Valid,H3.8,12000,2001-01-01T00:00:00.000,19.000000,81.000000
Devri-Khera,6696,Valid,L6,1140,1994-01-01T00:00:00.000,24.225000,76.525000
Dhajala,6698,Valid,H3.8,45000,1976-01-01T00:00:00.000,22.377780,71.427220
Dharwar,6699,Valid,OC,1800,1848-01-01T00:00:00.000,14.883330,75.600000
Dhurmsala,7640,Valid,LL6,32000,1860-01-01T00:00:00.000,32.233330,76.466670
Didim,47350,Valid,H3-5,3396,2007-01-01T00:00:00.000,37.351720,27.329970
Diep River,7642,Valid,L6,1000,1906-01-01T00:00:00.000,-33.750000,18.566670
Distrito Quebracho,7649,Valid,H4,400,1957-01-01T00:00:00.000,-31.883330,-60.466670
Djati-Pengilon,7652,Valid,H6,166000,1884-01-01T00:00:00.000,-7.500000,111.500000
Djermaia,7656,Valid,H,3950,1961-01-01T00:00:00.000,12.733330,15.050000
Djoumine,7657,Valid,H5-6,10000,1999-01-01T00:00:00.000,36.950000,9.550000
Dokachi,7658,Valid,H5,3840,1903-01-01T00:00:00.000,23.500000,90.333330
Dolgovoli,7659,Valid,L6,1600,1864-01-01T00:00:00.000,50.750000,25.300000
Domanitch,7661,Valid,L5,438,1907-01-01T00:00:00.000,40.000000,29.000000
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,1995-01-01T00:00:00.000,45.500000,119.033330
Donga Kohrod,7707,Valid,H6,230,1899-01-01T00:00:00.000,21.866670,82.450000
Dongtai,7708,Valid,LL6,5500,1970-01-01T00:00:00.000,32.916670,120.783330
Doroninsk,7718,Valid,H5-7,3891,1805-01-01T00:00:00.000,51.200000,112.300000
Dosso,7722,Valid,L6,1250,1962-01-01T00:00:00.000,13.050000,3.166670
Douar Mghila,7723,Valid,LL6,1161,1932-01-01T00:00:00.000,32.333330,-6.300000
Dowa,7725,Valid,Stone-uncl,642,1976-01-01T00:00:00.000,-13.666670,33.916670
Drake Creek,7728,Valid,L6,5000,1827-01-01T00:00:00.000,36.400000,-86.500000
Dresden (Ontario),7731,Valid,H6,47700,1939-01-01T00:00:00.000,42.520000,-82.260000
Dubrovnik,7736,Valid,L3-6,1900,1951-01-01T00:00:00.000,42.458330,18.441670
Dunbogan,7743,Valid,L6,30,1999-01-01T00:00:00.000,-31.666670,152.833330
Dundrum,7745,Valid,H5,2270,1865-01-01T00:00:00.000,52.550000,-8.033330
Dunhua,7749,Valid,Stone-uncl,,1976-01-01T00:00:00.000,43.333330,128.250000
Durala,7750,Valid,L6,13200,1815-01-01T00:00:00.000,30.300000,76.633330
Duruma,7752,Valid,L6,577,1853-01-01T00:00:00.000,-4.000000,39.500000
Duwun,7754,Valid,L6,2117,1943-01-01T00:00:00.000,33.433330,127.266670
Dwaleni,7755,Valid,H4-6,3230,1970-01-01T00:00:00.000,-27.200000,31.316670
Dyalpur,7757,Valid,Ureilite,300,1872-01-01T00:00:00.000,26.250000,82.000000
Dyarrl Island,7758,Valid,Mesosiderite-A1,188,1933-01-01T00:00:00.000,-3.000000,151.000000
Eagle,7760,Valid,EL6,10000,1947-01-01T00:00:00.000,40.781670,-96.471670
Ehole,7774,Valid,H5,2400,1961-01-01T00:00:00.000,-17.300000,15.833330
Eichstädt,7775,Valid,H5,3000,1785-01-01T00:00:00.000,48.900000,11.216670
Ekeby,7776,Valid,H4,3336,1939-01-01T00:00:00.000,56.033330,13.000000
Ekh Khera,7777,Valid,H6,840,1916-01-01T00:00:00.000,28.266670,78.783330
El Idrissia,7807,Valid,L6,10000,1989-01-01T00:00:00.000,34.416670,3.250000
El Paso de Aguila,45977,Valid,H5,17226,1977-01-01T00:00:00.000,25.370000,-97.370000
El Tigre,7819,Valid,L6,5000,1993-01-01T00:00:00.000,19.967220,-103.051670
Elbert,7822,Valid,LL6,680.5,1998-01-01T00:00:00.000,39.246670,-104.588170
Elbogen,7823,Valid,"Iron, IID",107000,1400-01-01T00:00:00.000,50.183330,12.733330
Elenovka,7824,Valid,L5,54640,1951-01-01T00:00:00.000,47.833330,37.666670
Ellemeet,10019,Valid,Diogenite,1470,1925-01-01T00:00:00.000,51.750000,4.000000
Emmaville,10033,Valid,Eucrite-mmict,127,1900-01-01T00:00:00.000,-29.466670,151.616670
Enshi,10038,Valid,H5,8000,1974-01-01T00:00:00.000,30.300000,109.500000
Ensisheim,10039,Valid,LL6,127000,1492-01-01T00:00:00.000,47.866670,7.350000
Épinal,10041,Valid,H5,277,1822-01-01T00:00:00.000,48.183330,6.466670
Erakot,10042,Valid,CM2,113,1940-01-01T00:00:00.000,19.033330,81.891670
Erevan,10043,Valid,Howardite,107.2,1911-01-01T00:00:00.000,40.300000,44.500000
Ergheo,10044,Valid,L5,20000,1889-01-01T00:00:00.000,1.166670,44.166670
Erxleben,10049,Valid,H6,2250,1812-01-01T00:00:00.000,52.216670,11.250000
Esnandes,10051,Valid,L6,1500,1837-01-01T00:00:00.000,46.250000,-1.100000
Essebi,10055,Valid,C2-ung,500,1957-01-01T00:00:00.000,2.883330,30.833330
Estherville,10059,Valid,Mesosiderite-A3/4,320000,1879-01-01T00:00:00.000,43.416670,-94.833330
Farmington,10074,Valid,L5,89400,1890-01-01T00:00:00.000,39.750000,-97.033330
Farmville,10075,Valid,H4,56000,1934-01-01T00:00:00.000,35.550000,-77.533330
Favars,10078,Valid,H5,1500,1844-01-01T00:00:00.000,44.383330,2.816670
Fayetteville,10079,Valid,H4,2360,1934-01-01T00:00:00.000,36.050000,-94.166670
Feid Chair,10080,Valid,H4,380,1875-01-01T00:00:00.000,36.883330,8.450000
Felix,10081,Valid,CO3.3,3200,1900-01-01T00:00:00.000,32.533330,-87.166670
Fenghsien-Ku,10086,Valid,H5,82,1924-01-01T00:00:00.000,34.600000,116.750000
Ferguson,10088,Valid,OC,220,1889-01-01T00:00:00.000,36.100000,-81.416670
Fermo,10091,Valid,H3-5,10200,1996-01-01T00:00:00.000,43.181110,13.753330
Fisher,10107,Valid,L6,17600,1894-01-01T00:00:00.000,47.816670,-96.850000
Florence,10111,Valid,H3,3640,1922-01-01T00:00:00.000,30.833330,-97.766670
Forest City,10119,Valid,H5,152000,1890-01-01T00:00:00.000,43.250000,-93.666670
Forest Vale,10120,Valid,H4,26000,1942-01-01T00:00:00.000,-33.350000,146.858330
